F;1;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;6;
S;2;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;1
S;3;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;4;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;5;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
F;6;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;11;
S;7;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;6
S;8;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;9;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;10;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
F;11;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;16;
S;12;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;11
S;13;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;14;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;15;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
F;16;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;21;
S;17;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;16
S;18;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;19;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;20;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
F;21;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;26;
S;22;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;21
S;23;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;24;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;25;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
F;26;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;31;
S;27;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;26
S;28;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;29;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;30;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
F;31;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;51;
S;32;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;31
S;33;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;34;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;35;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
F;36;M;SULTAN;Eric;eric@gmail.com;01/07/2015;22;false;;61;
S;37;M;VASSEUR;Romain;romain@gmail.com;;;;25/12/1983;;36
S;38;M;WOLNY;Alexandre;alexandre@gmail.com;;;;05/05/1985;;
F;39;M;ROUTIER;Benoit;benoit@gmail.com;01/07/2011;15;true;;;
S;40;M;ROMANO;Cyril;cyril@gmail.com;;;;05/05/1982;;
